"Posts","Label"
"እነዚህን ወሳኝ ጉዳዮችን የሚያስፈጽም አካል እንዲቋቋምና ክትትል እንዲደረግ በመግለጫው ጠይቀዋል።","Free"
"ጃዋር አልበግዳዲ በግርግር ስልጣን ለመያዝ የሚያደርገው ነገር ብዙ ስራ ፈት ቄሮ ሊያስጨርስ እንጂ የስልጣን ሽታዋን አያገኝም ያባቱ ሀገር የመን ይሂድ ስልጣን ካማረው ወይ ደግሞ በናቱ አማራ ስለሆለ አማራ ክልል ሂዶ ይወዳደር","Offensive"
""" ምን ሆናችሁ ኦርቶዶክሶች? ሰሞኑን ፖለቲካ ገባ እንዴ ውስጣችሁ?አይዟችሁ ወደዱም ጠሉም ኢዮጵያ አትፈርስም ኦርቶዶክስ አትከፈልም ""ይህንን ያለው ጠቅላይ ሚንስትር አቢይ አህመድ ነው።በናትህ ጡጦ ግዛልን!","Free"
"ስለ አሳምነው የምትፅፈው ነገር አሳምነው ለአማራ የነበረው ተቆርቋሪነት አሪፍ ነበር ነገር ግን እነደ ፀጥታ ዘርፍ ሀላፊ ሆኖ ሲሰራ የፌደራል ፓሊስም ሆነ የኦነግ ሰራዊት ወደ አማራ ክልል ከሰኞ -አርብ አየገቡ መረጃው ደርሶት ነበር ።ለምን ዝግጅት አላደረገም የሆነ ነገር ሊፈፀም እንደሆነ ካወቀ እንዴት ዝም ብሎ ይቀመጣል።","Free"
"አጋጣሚውን ተጠቅመው የእስክንድር ነጋን ስም እና ትግል ለማዳከም የሚፈልጉት ፣ ድንኳኑ ጢም ሲል አሳላፊ መሆን የሚዳዳቸው ሆድ አደሮች ናቸው። እስክንድር የተዋህዶ ስብሰባ እኔም ይመለከተኛል እንጂ እኔ ነኝ መሪው እና አስተባባሪው አላለም። ። በዕለቱ ግን መግለጫ የመስጠት መብት እንዳለው መዘንጋት የለበትም። ስብሰባውን ተያይዞም መግለጫ ቢሰጥ ክፋቱ ምንድን ነው። መግለጫው ምን እንደሆነ ሳንሰማ እስክንድርን ለመወረፍ እና ለማንቋሸሽ ማሰብ እጅግ ነውር ብቻ ሳይሆን አላዋቂነትም ነው። እስክንድር የ አዲስ አበባ ጉዳይን ከፊት ሆኖ በመምራት እነ ጃዋርን እና ተለጣፊውን ግንቦት ሰባት ፣ ከፍ ሲልም የ አብይን ሁነኛ ባህሪይ ያጋለጠ ሰው ነው። ሲደገስ እኛ ነን ማለት የፖለቲካ ባህላችን ስለሆነ እንጂ እስክንድር የከፈለውን መስዕዋትነት ላለመክፈል ወደ ውጭ ሸሽተው የወጡት ይህንን የእስክንድርን መግለጫ ለማሳጫነት መጠቀማቸው ሊያሳፍራቸው ይገባል። ኦነጎች ፣ ህወሓቶች እና ግንቦት ሰባቶች በጥምረት እስክንድር ላይ የተነሱት ሶስቱም አካላቶች በ አዲስ አበባ ላይ ለ አዲስ አበባ ህዝብ የማይጠቅም የስልጣን ጥም የወለደው ህልም ስላላቸው ነው። እነ ግርማ ሰይፉ እና መሰል የታሪክ ውሾች ከእስክንድር በላይ ለ እምነታቸው የተቆረቆሩ በማስመሰል፣ ደጋግመው ለካዱት ህዝብ እንደ ጠበቃም ሲያደርጋቸው ማየት ከማሳቀቅ ከፍ ብሎ ያስቃል። እየተስተዋለ። ልካችንን እንወቅ።","Offensive"
"ትክክል ዝምብለው ያጫፍራሉ","Offensive"
"የእስር ፍቅሩ እልልል ያስብለዋል እንጂ አብይ ይሄን ሰውዬ ቢለምነው አያስረውም፣ እስር ያገነነው ጅል","Offensive"
"መግለጫ የመስጠት መብት ቢኖረውም ፣ አሁን ባለው ሁኔታ ማድረግ ፈጽሞ ስህተት ነው። የቤተክርስቲያኗን አጀንዳ ለፖለቲካ ጥቅም ሀይጃክ ማድረግ ማለት ነው።","Offensive"
"ትክክል ሄኔኬ ግን እስክንድር እራሱን መጠበቅ አለበት ይህንን ግርግር ተገን በማድረግ ብዙ ስው በላወቺ እንዳሉ መገንዘብ አለብን እስክንድርም ተከታዪቹም ፈጣሪ ይጠብቃቸው","Free"
"ሰኔ 15 የተደርገውን መገመት ይቻላል አሁንም ሌላ ችግር አንፈልግም ከፈለገ መልእክቱን በአስራት ያስተላልፍ ለኦርቶዶክስ ድጋፍ ከፈለገ አሁን የሱ መግለጫ ሳይሆን የተያዘውን ሰልፍ ስለ ቤተክርስቲያን ነው ምክንያት ነው የሚፈልጉት ሰውን ለማሰናከል የማንርሳቸውን አተናል ባህር ዳር ከመሄድ በፊት ብዙ ልጆች ችግር ይፈጠራል እያሉ ነበር ይህ ነገር ችግር ይፈጥራል እናስተውል","Offensive"
"አሰለቻችሁን መግለጫ መግለጫ መግለጫ የምን መግለጫ ጋጋታ ነው ።","Offensive"
"ዝም ብሌ ወሬ ማብዛት ምንስ ጥቅም አለው ። ሁሉም ወደ ተግባርና አንድነት መምጣቱ ብቻ ነው አዋጭውና ጠቃሚው","Free"
