,Posts,Label
0,እነዚህን ወሳኝ ጉዳዮችን የሚያስፈፅም አካል እንዲቋቋምና ክትትል እንዲደረግ በመግለጫው ጠይቀዋል,Free
1,ጃዋር አልበግዳዲ በግርግር ስልጣን ለመያዝ የሚያደርገው ነገር ብዙ ስራ ፈት ቄሮ ሊያስጨርስ እንጂ የስልጣን ሽታዋን አያገኝም ያባቱ ሀገር የመን ይሂድ ስልጣን ካማረው ወይ ደግሞ በናቱ አማራ ስለሆለ አማራ ክልል ሂዶ ይወዳደር,Offensive
2, ምን ሆናችሁ ኦርቶዶክሶች ሰሞኑን ፖለቲካ ገባ እንዴ ውስጣችኋይዟችሁ ወደዱም ጠሉም ኢዮጵያ አትፈርስም ኦርቶዶክስ አትከፈልም ይህንን ያለው ጠቅላይ ሚንስትር አቢይ አህመድ ነውበናትህ ጡጦ ግዛልን,Free
3,ስለ አሳምነው የምትፅፈው ነገር አሳምነው ለአማራ የነበረው ተቆርቋሪነት አሪፍ ነበር ነገር ግን እነደ ፀጥታ ዘርፍ ሀላፊ ሆኖ ሲሰራ የፌደራል ፓሊስም ሆነ የኦነግ ሰራዊት ወደ አማራ ክልል ከሰኞ አርብ አየገቡ መረጃው ደርሶት ነበር ለምን ዝግጅት አላደረገም የሆነ ነገር ሊፈፀም እንደሆነ ካወቀ እንዴት ዝም ብሎ ይቀመጣል,Free
4,አጋጣሚውን ተጠቅመው የእስክንድር ነጋን ስም እና ትግል ለማዳከም የሚፈልጉት  ድንኳኑ ጢም ሲል አሳላፊ መሆን የሚዳዳቸው ሆድ አደሮች ናቸው እስክንድር የተዋህዶ ስብሰባ እኔም ይመለከተኛል እንጂ እኔ ነኝ መሪው እና አስተባባሪው አላለም  በእለቱ ግን መግለጫ የመስጠት መብት እንዳለው መዘንጋት የለበትም ስብሰባውን ተያይዞም መግለጫ ቢሰጥ ክፋቱ ምንድን ነው መግለጫው ምን እንደሆነ ሳንሰማ እስክንድርን ለመወረፍ እና ለማንቋሸሽ ማሰብ እጅግ ነውር ብቻ ሳይሆን አላዋቂነትም ነው እስክንድር የ አዲስ አበባ ጉዳይን ከፊት ሆኖ በመምራት እነ ጃዋርን እና ተለጣፊውን ግንቦት ሰባት  ከፍ ሲልም የ አብይን ሁነኛ ባህሪይ ያጋለጠ ሰው ነው ሲደገስ እኛ ነን ማለት የፖለቲካ ባህላችን ስለሆነ እንጂ እስክንድር የከፈለውን መስእዋትነት ላለመክፈል ወደ ውጭ ሸሽተው የወጡት ይህንን የእስክንድርን መግለጫ ለማሳጫነት መጠቀማቸው ሊያሳፍራቸው ይገባል ኦነጎች  ህወሀቶች እና ግንቦት ሰባቶች በጥምረት እስክንድር ላይ የተነሱት ሶስቱም አካላቶች በ አዲስ አበባ ላይ ለ አዲስ አበባ ህዝብ የማይጠቅም የስልጣን ጥም የወለደው ህልም ስላላቸው ነው እነ ግርማ ሰይፉ እና መሰል የታሪክ ውሾች ከእስክንድር በላይ ለ እምነታቸው የተቆረቆሩ በማስመሰል ደጋግመው ለካዱት ህዝብ እንደ ጠበቃም ሲያደርጋቸው ማየት ከማሳቀቅ ከፍ ብሎ ያስቃል እየተስተዋለ ልካችንን እንወቅ,Offensive
5,ትክክል ዝምብለው ያጫፍራሉ,Offensive
6,የእስር ፍቅሩ እልልል ያስብለዋል እንጂ አብይ ይሄን ሰውዬ ቢለምነው አያስረውም እስር ያገነነው ጅል,Offensive
7,መግለጫ የመስጠት መብት ቢኖረውም  አሁን ባለው ሁኔታ ማድረግ ፈፅሞ ስህተት ነው የቤተክርስቲያኗን አጀንዳ ለፖለቲካ ጥቅም ሀይጃክ ማድረግ ማለት ነው,Offensive
8,ትክክል ሄኔኬ ግን እስክንድር እራሱን መጠበቅ አለበት ይህንን ግርግር ተገን በማድረግ ብዙ ስው በላወቺ እንዳሉ መገንዘብ አለብን እስክንድርም ተከታዪቹም ፈጣሪ ይጠብቃቸው,Free
9,ሰኔ  የተደርገውን መገመት ይቻላል አሁንም ሌላ ችግር አንፈልግም ከፈለገ መልእክቱን በአስራት ያስተላልፍ ለኦርቶዶክስ ድጋፍ ከፈለገ አሁን የሱ መግለጫ ሳይሆን የተያዘውን ሰልፍ ስለ ቤተክርስቲያን ነው ምክንያት ነው የሚፈልጉት ሰውን ለማሰናከል የማንርሳቸውን አተናል ባህር ዳር ከመሄድ በፊት ብዙ ልጆች ችግር ይፈጠራል እያሉ ነበር ይህ ነገር ችግር ይፈጥራል እናስተውል,Offensive
10,አሰለቻችሁን መግለጫ መግለጫ መግለጫ የምን መግለጫ ጋጋታ ነው ,Offensive
11,ዝም ብሌ ወሬ ማብዛት ምንስ ጥቅም አለው  ሁሉም ወደ ተግባርና አንድነት መምጣቱ ብቻ ነው አዋጭውና ጠቃሚው,Free
12,እስክንድር የሚናገረውን ለመረዳት ወይም የሚያደርገውን ነገር በደንብ ለማወቅ ዳግም መፈጠር ያስፈልጋል ሰዎች በደንብ ስለማይረዱት አንድ ነገር ባደረገ እና በተናገረ ቁጥር በአንድ አቅጣጫ ብቻ ያዩታል ወይም ሀሳቡን አይረዱትም ላይ ላዩን ብቻ በማየት ይፈርዳሉ,Free
13,እስክንድር በማንኛውም ትግል መገኘት ያለበት እና መግለጫም መስጠት ያለበት ምርጥ ዜጋ ነው,Offensive
14,ቆማጣ ሁላ,Offensive
15,በሌላ ጊዜ ቢያደርገው መልካም ነው,Offensive
16,ለሌሎች መጠቀሚያ እንዳይሆን መጠንቀቅ አለበት,Free
17,ሲጀመር ሰልፉ ሀይማኖታዊ እንጂ ፖለቲካዊ አይደለም ስለሆነም የየትኛውም ፖለቲካ ደጋፊና አባል ይሳተፍበታል ተብሎ ይጠበቃል  እስክንድር ደግሞ ፖለቲከኛ እንጂ ሀይማኖተኛ አይደለም  በዚህ አጋጣሚ ፖለቲከኛ አይደለም ጋዜጠኛ ነው ብለህ እንደማትሞግተኝ ባለ ሙሉ ተስፋ ነኝ  እናም የሁሉም በሆነች ሀይማኖት ላይ የአንድ ወገን ፖለቲካ አራማጅ ግለሰብ ምንም አይነት መግለጫ የመስጠት መብት የለውም  ቢሰጥም ህብረቱን ያፈርሰዋል እንጂ ምንም አይጠቅመውም ,Offensive
18,ሄኖክየሺጥላ በዚህ ፅሁፍህ ከስንቱ ጋር ነው አማራና ኦርቶዶክስን የምታጋጨው ስትፅፍ ሀቀኛ አቃም ያለህ መሆን ይገባሀል ደግሞ ምን አገባህ ስለ እስክንድር  ማቅራራት ዋጋ የለውም እንደ እስክንድር ለኢትዮጵያ ህዝብ እታገላለው ካል ኢትዮጵያ ግባና ተገል አልዝያ ዝም ብለህ ገንፎህን ቀቅል እስክንድርን ከስንቱ ጋር ይጋጭ እረ ስከን በል እባክህን,Free
